Kod;Nazwa;Okresy;Płeć;Wartość i precyzja;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;1 kwartał;ogółem;wartość liczbowa;2010;10,9;%; 
0000000;POLSKA;2 kwartał;ogółem;wartość liczbowa;2010;9,9;%; 
0000000;POLSKA;3 kwartał;ogółem;wartość liczbowa;2010;9,5;%; 
0000000;POLSKA;4 kwartał;ogółem;wartość liczbowa;2010;9,6;%; 
0000000;POLSKA;1 kwartał;ogółem;wartość liczbowa;2011;10,4;%; 
0000000;POLSKA;2 kwartał;ogółem;wartość liczbowa;2011;9,7;%; 
0000000;POLSKA;3 kwartał;ogółem;wartość liczbowa;2011;9,6;%; 
0000000;POLSKA;4 kwartał;ogółem;wartość liczbowa;2011;10,0;%; 
0000000;POLSKA;1 kwartał;ogółem;wartość liczbowa;2012;10,8;%; 
0000000;POLSKA;2 kwartał;ogółem;wartość liczbowa;2012;10,2;%; 
0000000;POLSKA;3 kwartał;ogółem;wartość liczbowa;2012;10,2;%; 
0000000;POLSKA;4 kwartał;ogółem;wartość liczbowa;2012;10,4;%; 
0000000;POLSKA;1 kwartał;ogółem;wartość liczbowa;2013;11,6;%; 
0000000;POLSKA;2 kwartał;ogółem;wartość liczbowa;2013;10,7;%; 
0000000;POLSKA;3 kwartał;ogółem;wartość liczbowa;2013;10,1;%; 
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2010;1,8;%; 
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2011;1,4;%; 
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2012;1,9;%; 
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2013;1,7;%; 
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2014;1,8;%; 
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2015;2,0;%; 
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2016;2,4;%; 
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2017;3,2;%; 
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2018;4,1;%; 
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2019;0,0;%;n
0000000;POLSKA;1 kwartał;ogółem;wskaźnik precyzji;2020;0,0;%;n
