Kod;Nazwa;Sekcje wg PKD 2007;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;Sekcja B;2011;0;etat;x
0000000;POLSKA;Sekcja D;2011;0;etat;x
0000000;POLSKA;Sekcja E;2011;0;etat;x
0000000;POLSKA;Sekcja S;2006;87629;etat; 
0000000;POLSKA;Sekcja S;2005;89825;etat; 
0000000;POLSKA;Sekcja S;2007;92729;etat; 
0000000;POLSKA;Sekcja S;2010;95574;etat; 
0000000;POLSKA;Sekcja S;2009;98345;etat; 
0000000;POLSKA;Sekcja S;2011;101444;etat; 
0000000;POLSKA;Sekcja S;2008;102088;etat; 
0000000;POLSKA;Sekcja S;2012;102297;etat; 
0000000;POLSKA;Sekcja R;2005;113627;etat; 
0000000;POLSKA;Sekcja E;2005;115528;etat; 
0000000;POLSKA;Sekcja R;2006;116320;etat; 
0000000;POLSKA;Sekcja E;2006;118615;etat; 
0000000;POLSKA;Sekcja R;2013;119567;etat; 
0000000;POLSKA;Sekcja R;2007;120680;etat; 
0000000;POLSKA;Sekcja R;2014;120841;etat; 
0000000;POLSKA;Sekcja R;2015;120851;etat; 
0000000;POLSKA;Sekcja E;2007;121592;etat; 
0000000;POLSKA;Sekcja R;2016;123584;etat; 
0000000;POLSKA;Sekcja R;2008;124007;etat; 
0000000;POLSKA;Sekcja R;2017;125304;etat; 
0000000;POLSKA;Sekcja E;2008;126004;etat; 
0000000;POLSKA;Sekcja R;2018;126709;etat; 
0000000;POLSKA;Sekcja S;2014;127395;etat; 
0000000;POLSKA;Sekcja R;2021;128252;etat; 
0000000;POLSKA;Sekcja R;2020;128297;etat; 
0000000;POLSKA;Sekcja R;2009;128483;etat; 
0000000;POLSKA;Sekcja R;2012;129473;etat; 
0000000;POLSKA;Sekcja S;2015;129712;etat; 
0000000;POLSKA;Sekcja E;2009;129984;etat; 
0000000;POLSKA;Sekcja R;2019;130141;etat; 
0000000;POLSKA;Sekcja R;2010;130265;etat; 
0000000;POLSKA;Sekcja S;2013;130803;etat; 
0000000;POLSKA;Sekcja R;2011;131658;etat; 
0000000;POLSKA;Sekcja R;2022;132495;etat; 
0000000;POLSKA;Sekcja L;2006;133423;etat; 
0000000;POLSKA;Sekcja L;2005;133572;etat; 
0000000;POLSKA;Sekcja E;2010;133695;etat; 
0000000;POLSKA;Sekcja L;2007;137494;etat; 
0000000;POLSKA;Sekcja L;2013;138428;etat; 
0000000;POLSKA;Sekcja L;2008;138699;etat; 
0000000;POLSKA;Sekcja S;2016;139151;etat; 
0000000;POLSKA;Sekcja L;2009;139984;etat; 
0000000;POLSKA;Sekcja L;2015;141809;etat; 
0000000;POLSKA;Sekcja L;2020;141827;etat; 
0000000;POLSKA;Sekcja L;2010;142011;etat; 
0000000;POLSKA;Sekcja L;2012;142106;etat; 
0000000;POLSKA;Sekcja A;2013;142459;etat; 
0000000;POLSKA;Sekcja L;2021;142609;etat; 
0000000;POLSKA;Sekcja A;2012;142888;etat; 
0000000;POLSKA;Sekcja L;2014;143163;etat; 
0000000;POLSKA;Sekcja L;2022;143194;etat; 
0000000;POLSKA;Sekcja S;2017;143630;etat; 
0000000;POLSKA;Sekcja L;2019;143768;etat; 
0000000;POLSKA;Sekcja A;2010;143934;etat; 
0000000;POLSKA;Sekcja A;2011;143961;etat; 
0000000;POLSKA;Sekcja A;2019;145096;etat; 
0000000;POLSKA;Sekcja D;2007;145101;etat; 
0000000;POLSKA;Sekcja A;2015;145118;etat; 
0000000;POLSKA;Sekcja A;2014;145825;etat; 
0000000;POLSKA;Sekcja L;2011;146714;etat; 
0000000;POLSKA;Sekcja D;2006;146987;etat; 
0000000;POLSKA;Sekcja L;2016;147080;etat; 
0000000;POLSKA;Sekcja A;2018;147471;etat; 
0000000;POLSKA;Sekcja I;2005;147472;etat; 
0000000;POLSKA;Sekcja A;2016;147486;etat; 
0000000;POLSKA;Sekcja L;2018;147569;etat; 
0000000;POLSKA;Sekcja A;2017;148322;etat; 
0000000;POLSKA;Sekcja A;2009;148331;etat; 
0000000;POLSKA;Sekcja A;2008;149701;etat; 
0000000;POLSKA;Sekcja D;2009;150498;etat; 
0000000;POLSKA;Sekcja S;2019;150933;etat; 
0000000;POLSKA;Sekcja S;2018;151126;etat; 
0000000;POLSKA;Sekcja D;2008;151598;etat; 
0000000;POLSKA;Sekcja I;2006;152398;etat; 
0000000;POLSKA;Sekcja L;2017;152499;etat; 
0000000;POLSKA;Sekcja A;2006;152500;etat; 
0000000;POLSKA;Sekcja D;2005;152777;etat; 
0000000;POLSKA;Sekcja A;2005;153012;etat; 
0000000;POLSKA;Sekcja A;2007;155343;etat; 
0000000;POLSKA;Sekcja S;2020;155415;etat; 
0000000;POLSKA;Sekcja J;2005;155501;etat; 
0000000;POLSKA;Sekcja J;2006;155755;etat; 
0000000;POLSKA;Sekcja S;2021;158388;etat; 
0000000;POLSKA;Sekcja D;2010;159451;etat; 
0000000;POLSKA;Sekcja A;2022;160957;etat; 
0000000;POLSKA;Sekcja I;2007;162530;etat; 
0000000;POLSKA;Sekcja A;2021;163016;etat; 
0000000;POLSKA;Sekcja S;2022;164515;etat; 
0000000;POLSKA;Sekcja A;2020;165162;etat; 
0000000;POLSKA;Sekcja J;2007;166086;etat; 
0000000;POLSKA;Sekcja I;2013;170061;etat; 
0000000;POLSKA;Sekcja I;2014;171138;etat; 
0000000;POLSKA;Sekcja I;2015;172043;etat; 
0000000;POLSKA;Sekcja B;2010;173186;etat; 
0000000;POLSKA;Sekcja I;2011;173722;etat; 
0000000;POLSKA;Sekcja I;2012;174811;etat; 
0000000;POLSKA;Sekcja I;2010;175663;etat; 
0000000;POLSKA;Sekcja I;2016;180707;etat; 
0000000;POLSKA;Sekcja B;2007;180844;etat; 
0000000;POLSKA;Sekcja I;2009;180892;etat; 
0000000;POLSKA;Sekcja B;2008;182084;etat; 
0000000;POLSKA;Sekcja I;2008;182345;etat; 
0000000;POLSKA;Sekcja B;2006;183006;etat; 
0000000;POLSKA;Sekcja B;2009;183220;etat; 
0000000;POLSKA;Sekcja B;2005;187967;etat; 
0000000;POLSKA;Sekcja J;2008;189626;etat; 
0000000;POLSKA;Sekcja I;2017;193663;etat; 
0000000;POLSKA;Sekcja J;2010;195296;etat; 
0000000;POLSKA;Sekcja I;2020;195539;etat; 
0000000;POLSKA;Sekcja J;2009;195653;etat; 
0000000;POLSKA;Sekcja I;2018;195675;etat; 
0000000;POLSKA;Sekcja J;2011;198172;etat; 
0000000;POLSKA;Sekcja I;2021;198693;etat; 
0000000;POLSKA;Sekcja J;2012;204145;etat; 
0000000;POLSKA;Sekcja J;2013;207438;etat; 
0000000;POLSKA;Sekcja I;2019;208257;etat; 
0000000;POLSKA;Sekcja I;2022;215877;etat; 
0000000;POLSKA;Sekcja J;2014;216792;etat; 
0000000;POLSKA;Sekcja J;2015;229211;etat; 
0000000;POLSKA;Sekcja K;2005;244010;etat; 
0000000;POLSKA;Sekcja J;2016;245054;etat; 
0000000;POLSKA;Sekcja K;2006;250471;etat; 
0000000;POLSKA;Sekcja K;2021;253532;etat; 
0000000;POLSKA;Sekcja K;2020;255395;etat; 
0000000;POLSKA;Sekcja J;2017;258732;etat; 
0000000;POLSKA;Sekcja K;2022;260171;etat; 
0000000;POLSKA;Sekcja K;2007;260754;etat; 
0000000;POLSKA;Sekcja N;2005;262885;etat; 
0000000;POLSKA;Sekcja K;2019;267222;etat; 
0000000;POLSKA;Sekcja J;2018;267548;etat; 
0000000;POLSKA;Sekcja K;2018;268151;etat; 
